titulo_diario;texto_diario;type;by;post_id;post_link;post_message;picture;full_picture;link;link_domain;post_published;post_published_unix;post_published_sql;likes_count_fb;comments_count_fb;reactions_count_fb;shares_count_fb;engagement_fb;comments_retrieved;comments_base;comments_replies;comments_likes_count;texto propio;localizacion_info;genero;tema;temp;modalidad;observaciones;rea_NONE;rea_LIKE;rea_LOVE;rea_WOW;rea_HAHA;rea_SAD;rea_ANGRY;rea_THANKFUL
Dilma Rousseff, la apuesta personal de Lula;"Dilma Rousseff, la economista elegida y respaldada por Lula da Silva, logró pasar con éxito el balotaje contra José Serra y se convierte en la primera mujer que accederá a la Presidencia en Brasil, el país más grande de América Latina.Divorciada y madre de una hija, Rousseff fue abuela durante la campaña y, para acallar las críticas por su supuesta postura favorable al aborto, se hizo fotografiar en el bautismo de su nieto.Hija de un emigrante búlgaro comunista, Rousseff, de 62 años y miembro del Partido de los Trabajadores (PT), pasó más de dos años encarcelada durante su juventud y fue torturada por su militancia en movimientos clandestinos que luchaban contra la dictadura militar en Brasil (1964-1985).Ese pasado ""guerrillero"" fue objeto de duras críticas por parte de sectores de la oposición que sugieren que, más allá del papel de militante en movimientos clandestinos, Rousseff pudo haber participado en acciones violentas.Sin embargo, la biografía de su página oficial de campaña señala que a los 16 años Rousseff formaba parte de la organización clandestina Política Operaria (Polop) y luego pasó al Comando de Liberación Nacional (Colina) y a la Vanguardia Armada Revolucionaria Palmares (VAR-Palmares), pero ""como jamás participó en cualquier acción armada, la Justicia Militar la condena sólo por subversión"".Nacida el 14 de diciembre de 1947 en Belo Horizonte, capital del estado de Minas Gerais, Dilma Vana Rousseff Linhares desempeñó varios cargos administrativos, ya como economista, en el estado meridional de Río Grande do Sul, donde comenzó su actividad profesional.Lula, quien la escogió personalmente como candidata a la Presidencia después de que algunos de los nombres mejor posicionados del PT para la sucesión se vieran implicados en escándalos de corrupción, explicó en varias ocasiones lo impresionado que quedó por su eficiencia y capacidad nada más conocerla.El presidente le ofreció el Ministerio de Minas y Energía en 2003 y apenas dos años después, la colocó al frente de la cartera de Presidencia, la más importante del gabinete, desde donde se encargó de dirigir los principales programas de desarrollo del Gobierno.Pero su llegada a la Presidencia no habría sido posible sin el empeño a fondo de Lula en su candidatura, a la que logró transferirle en forma de votos parte de su popularidad como mandatario. El presidente fue la estrella de los actos de campaña de Rousseff, habló más que ella en los actos electorales y no escatimó esfuerzos para hacerla subir en las encuestas.Los asesores de Rousseff, por su parte, se encargaron de dulcificar su discurso y de darle a su aspecto personal una dosis de coquetería y mayor feminidad, con la intención de movilizar el voto de las mujeres.Sin embargo, la nueva Rousseff, bajo esa imagen que busca transmitir elegancia y jovialidad al mismo tiempo, topa con la Rousseff de siempre que, a pesar de presentar una cara más amable, sigue siendo una mujer resuelta.";link;post_page_156057357762712;156057357762712_158184730883308;https://www.facebook.com/156057357762712/posts/158184730883308;;;;http://bit.ly/8XE6I5;bit.ly;2010-10-31T23:13:01+0000;1288566781;11/1/2010 0:13:01;1;0;1;0;1;0;0;0;0;2;3;6;1;1.0;0.0;;0;1;0;0;0;0;0;0
Dilma obtuvo un contundente triunfo y es la nueva presidenta de Brasil;Dilma Rousseff, de 62 años y candidata de Lula da Silva, ganó el balotaje contra José Serra y se convirtió así en la primera mujer que accederá a la Presidencia de Brasil, según datos del Tribunal Superior Electoral.Postulada por el Partido de los Trabajadores (PT), alcanzó 55,6% de los votos frente a 44,5% de Serra, del Partido de la Social Democracia Brasileña (PSDB). Los resultados fueron recibidos con aplausos y gritos de júbilo en el Hotel Naoum de Brasilia, donde aliados de la presidenta electa y militantes de su campaña se congregaron para seguir el recuento de votos.La aspirante presidencial recibió los resultados junto al presidente Luiz Inácio Lula da Silva en el Palacio de la Alvorada, residencia oficial del gobernante. La mandataria electa es la cuarta elegida mediante sufragio universal desde 1985, cuando volvió la democracia a Brasil después de 21 años de dictadura militar.Una romería de líderes de los partidos aliados de Rousseff, ministros, legisladores y gobernadores fueron llegando al lugar a la espera del pronunciamiento de la candidata. Los militantes festejaban con gritos y ovaciones.La candidatura de Rousseff, que asumirá su cargo el 1 de enero de 2011, fue impulsada por el popular presidente Lula, quien se involucró de lleno en la campaña y puso a favor de su candidata su prestigio y aparato político.En el primer turno de las elecciones, realizado el 3 de octubre, Rousseff parecía encaminarse a una tranquila victoria, pero los sondeos no previeron la fuerza del voto religioso, que favoreció a la ecologista Marina Silva, tercera colocada y de confesión evangélica, lo que forzó la realización del balotaje. Silva dejó libertad de elección este domingo a sus casi 20 millones de votantes.Además del Presidente de la República, los brasileños votaron este domingo en segundo turno para escoger a los gobernadores de ocho estados y del Distrito Federal, donde está localizada Brasilia, la capital del país.Los estados de Sao Paulo, Río de Janeiro y Minas Gerais, ya liquidaron la factura en la primera vuelta, con la elección de Gerardo Alckmin (socialdemócrata, oposición), Sergio Cabral (Movimiento Democrático, oficialista) y Antonio Anastasia (socialdemócrata, oposición), respectivamente.De esa forma, se realizaron elecciones para gobernadores en los estados de Alagoas, Pernambuco, Piauí, Goiás, Pará, Amapá, Roraima y Rondonia, además del Distrito Federal.;link;post_page_156057357762712;156057357762712_158175530884228;https://www.facebook.com/156057357762712/posts/158175530884228;;;;http://bit.ly/bQ9Qob;bit.ly;2010-10-31T22:09:55+0000;1288562995;10/31/2010 23:09:55;5;0;5;0;5;0;0;0;0;2;3;1;1;2.0;0.0;el titular del post de la la noticia a la cual se enlaza no coincide, esto debe ser porque es una noticia que el diario fue modificando conforme se actualizaba la información sobre las mesas escrutadas en Brasil.;0;5;0;0;0;0;0;0
El PJ anti K no descarta ir por la reunificación;Eduardo Duhalde avisó que “ni loco” se baja de la pelea por el sillón presidencial, por más que esté en juego el destino del Partido Justicialista. Lo mismo piensan Mario Das Neves y Alberto Rodríguez Saá. Felipe Solá, si bien mantiene sus aspiraciones, fue muy generoso al hablar de Kirchner: dijo que en las calles “lo despidió el pueblo” y que el hecho le había hecho acordar al funeral de Evita. Naturalmente, en el Peronismo Federal se impone una cumbre y esa cumbre se producirá el martes. Allí también deberá oírse la palabra de Francisco de Narváez, postulante a la gobernación y que fue recibido con frialdad en el velatorio del ex presidente. “Lo ideal sería aguardar cuáles son las primeras expresiones públicas de la Presidenta y después opinar, pero el martes nos juntamos seguro ”, adelantó una fuente del espacio del PJ anti-K.El gran dilema que habita este espacio tiene que ver con cómo seguirá la pelea con el kirchnerismo frente a la muerte de su conductor. El contrapeso con Kirchner, del que siempre buscaban sacar ventaja, ya no será posible. Será por eso que no descartan discutir la reunificación del partido.;link;post_page_156057357762712;156057357762712_158070527561395;https://www.facebook.com/156057357762712/posts/158070527561395;;;;http://bit.ly/bWJE0a;bit.ly;2010-10-31T12:54:26+0000;1288529666;10/31/2010 13:54:26;2;0;2;0;2;0;0;0;0;2;2;1;1;4.0;0.0;;0;2;0;0;0;0;0;0
En San Pablo, duelo de taxistas antes del balotaje;"“El tránsito de San Pablo es complicado porque, gracias a Lula, mucha gente que antes no tenía suficiente ahora se pudo comprar su auto”. La frase es toda una declaración de principios políticos, máxime cuando quien la pronuncia es Bill, un taxista que inmigró desde Pernambuco para pasarse las 14 horas de su jornada laboral en medio del embotellamiento casi constante de la metrópoli brasileña.“Dilma (Rousseff) va a ganar porque es la continuación de un gobierno que tiene sed de justicia y que quebró los tabúes de todos los anteriores, que gobernaban sólo para una minoría. El de Lula no mira sólo a los ricos sino que mira a toda la nación brasileña, sean ricos, pobres, clase media o clase baja”. Según Bill, no es el único logro del líder del PT: “Abrió las puertas de Brasil al pueblo brasileño y también a los pueblos extranjeros, mostró que Brasil tiene amor por los pueblos de otras naciones y que, cuando ve problemas como hambre o guerras en otros lugares, también lo siente porque el pueblo brasileño es humano”.Después de semejante declaración, Clarín preguntó al siguiente taxista de la tarde en busca de un posible voto de clase o de región (muchos de los choferes de San Pablo vienen del nordeste del país). No lo encontró. Estos son los argumentos de Daniel, de Paraiba, para votar por José Serra, el opositor de Dilma Rousseff en el balotaje de mañana: “Serra ya fue ministro, gobernador y prefecto. Es un buen administrador y tiene más experiencia que Dilma. No voto por Dilma porque no tiene ninguna experiencia. Nunca hizo nada por Brasil y si está creciendo es sólo por el nombre de Lula. Pero la verdad es que no hizo nada, fue Lula el que lo hizo, si es que hizo algo. Lula me gusta muy poco, no creo que sea tan bueno como parece”.No es la opinión de Bill: “Hoy mucha gente que quedó en mi pueblo toma café por la mañana, almuerza al mediodía y cena por la noche. Eso fue posible en primer lugar, por Dios; y en segundo, por Luiz Inácio Lula da Silva, que expandió la riqueza brasileña haciendo que llegase también a las clases necesitadas. Por eso este gobierno va a quedar en la historia de nuestro país”. ";link;post_page_156057357762712;156057357762712_157951790906602;https://www.facebook.com/156057357762712/posts/157951790906602;;;;http://bit.ly/czIZkd;bit.ly;2010-10-30T21:26:17+0000;1288473977;10/30/2010 23:26:17;1;0;1;0;1;0;0;0;0;2;3;2;1;4.0;0.0;;0;0;0;0;0;0;0;0
;;status;post_page_156057357762712;156057357762712_157895220912259;https://www.facebook.com/156057357762712/posts/157895220912259;;;;;;2010-10-30T16:20:16+0000;1288455616;10/30/2010 18:20:16;1;0;1;0;1;0;0;0;0;0;0;0;0;0.0;0.0;cuando ingreso a posteos type status en 2010 están en blanco;0;1;0;0;0;0;0;0
Una multitud a los costados de la ruta saludó a la caravana;La brisa suave del mediodía se transformó en ráfagas heladas y constantes sobre el atardecer. A pesar del frío, nadie se movió de su lugar. Habían llegado después de almorzar en busca de un lugar que les permitiera despedir al ex presidente Néstor Kirchner. Los costados de la autovía 17 de Octubre, la ruta que comunica el aeropuerto de Río Gallegos con la ciudad, se levantaron como un mar celeste y blanco. Miles de personas se apostaron a su vera con banderas de todos los tamaños, pero todas, banderas de luto. Las rotondas y los puentes se convirtieron en islas humanas que alzaban fuerte sus gritos y sus pancartas. “Fuerza Cristina”, fue la frase que se repitió en casi todos estos hombres y mujeres, tristes, emocionados. Nunca habían imaginado que iban a tener que decirle adiós a quien consideran el hijo preferido de Santa Cruz.. Al menos, no un adiós tan pronto. Marcelo vino con sus dos hijos y un par de binoculares. No quiso perderse ni un detalle. Subió a uno de los puentes peatonales que atraviesan la ruta y allí esperó. “Los chicos querían venir. Ellos me pidieron. No sé si entienden mucho lo que pasa, pero me pareció bien estar con ellos acompañando”, le dijo a Clarin.com abrazado a sus nenes de 6 y 10 años.  Chicos y grandes, bebés arropados con mantas y pollars impenetrables. La ciudad entera salió a la calle. Alejandro no quiso dejar a su bebito en casa, lo abrigó con todo lo que pudo y se acercó. “Fue un grande, realmente fue un grande. Demostró que él fue más grande que cualquiera”. Así lo recordó a Nestor Kirchner, con los ojos aguados. Los santacruceños llegaron a pie, en autos, taxis, micros, colectivos y hasta con grúas, remolcadoras y camiones. Estacionaron prolijamente sus autos y esperaron. Enrique se subió a su imponente camión 4x4 amarillo y vino a “despedir a nuestro presidente patagónico. Lo vamos a extrañar. Hizo mucho por la Argentina. Se nos va y lo vamos a extrañar”, confió. La ansiedad estuvo kilómetro a kilómetro a flor de piel. Todas las miradas estaban sobre el aeropuerto y los cinco kilómetros que lo separan de la ciudad. Cuando las radios de decenas de autos anunciaron que el avión de la Presidenta había aterrizado la noticia corrió de voz en voz. Unos a otros se fueron contando lo que pasaba más adelante. “Fuerza para la Presidenta”, le deseó Mario, nacido y criado aquí. Se subió a su auto en busca de un poco de calor. Y le prometió que “con el tiempo se va a ir olvidando los malos momentos y curando las heridas”. El viento golpeaba cada vez más fuerte, endureciendo manos y pies, cuando a lo lejos se empezaron a escuchar algunos bocinazos. “Ahí vienen, ahí vienen”, saltaron y se abrazaron ansiosos. En puntas de pie trataban de ver un metro más allá. Pero el cortejo se seguía haciendo esperar. La marea humana que lo acompañaba avanzó sin pausa, pesada. Parecía a lo lejos un ejército de hormigas. Una improvisada “patrulla” de motos del lugar -desde Harleys hasta Yamahas- se sumaron a las poquitas de la Policía local y se transformó en la avanzada que abrió paso sobre la ruta. Atrás, una camioneta de Gendarmería y sus oficiales apartaban firmemente a la gente. Militantes de La Cámpora, la agrupación creada por Máximo Kirchner, el hijo mayor del ex presidente, completaron el cerco alrededor de los autos del cortejo. Cantaban y pedían la reelección de Cristina. Celulares y cámaras en mano, la gente trató de capturar el instante. El segundo en que vieron pasar al féretro. Algunos lograron romper esa barrera de hombres y mujeres y hasta lograron juntar sus manos con las de la Presidenta, vidrio mediante. “No me importaba si me sacaban a patadas, yo quería estar cerca de ella y me mandé”, le dijo Irma a Clarín.com hecha un mar de lágrimas. La custodia del presidente Hugo Chávez parecía un tanto desencajada. Aunque están acostumbrados a los baños de popularidad del venezolano, suelen ser en su tierra cuando alcanzan esta magnitud. No les gusta dejar la seguridad personal al azar ni en manos de simpatizantes. El mandatario fue el único que viajó desde Buenos Aires para participar de la inhumación. Fue una de las pocas veces que se lo pudo ver con el saludo tímido, discreto.  Detrás de ellos se cerraba otra ola, la de los vehículos que intentaban volver a la ciudad y llegar al cementerio en medio de furiosos bocinazos, manos en V de victoria y más banderas. La mayoría siguió al cortejo hasta el final. Pero no todos, algunos se quedaron sobre la ruta con la sensación de estar viviendo una pesadilla.;link;post_page_156057357762712;156057357762712_157771334257981;https://www.facebook.com/156057357762712/posts/157771334257981;;;;http://bit.ly/96CsCS;bit.ly;2010-10-30T01:04:55+0000;1288400695;10/30/2010 3:04:55;1;3;1;0;4;3;3;0;0;2;2;2;1;1.0;0.0;;0;1;0;0;0;0;0;0
;;link;post_page_156057357762712;156057357762712_157744694260645;https://www.facebook.com/156057357762712/posts/157744694260645;;;;http://bit.ly/dkqVqB;bit.ly;2010-10-29T21:56:11+0000;1288389371;10/29/2010 23:56:11;1;0;1;0;1;0;0;0;0;2;2;2;1;3.0;0.0;enlace a un audio de enviada especial|;0;1;0;0;0;0;0;0
El cortejo fue acompañado por una multitud. Por Ricardo Cárcova.;;link;post_page_156057357762712;156057357762712_157722444262870;https://www.facebook.com/156057357762712/posts/157722444262870;;;;http://bit.ly/cgRtxL;bit.ly;2010-10-29T19:53:20+0000;1288382000;10/29/2010 21:53:20;1;0;1;0;1;0;0;0;0;2;2;2;1;1.0;0.0;;0;1;0;0;0;0;0;0
;;link;post_page_156057357762712;156057357762712_157687894266325;https://www.facebook.com/156057357762712/posts/157687894266325;;;;http://bit.ly/bIUnAS;bit.ly;2010-10-29T16:49:44+0000;1288370984;10/29/2010 18:49:44;1;0;1;0;1;0;0;0;0;2;2;2;1;2.0;0.0;enlace a un audio de enviada especial|;0;1;0;0;0;0;0;0
Bajo la lluvia, miles de personas acompañaron el cortejo hasta Aeroparque;"A las 13.17, con la Marcha de San Lorenzo de fondo, ejecutada por la fanfarria del Alto Perú del Regimiento de Granaderos, comenzó el recorrido del cortejo fúnebre de Néstor Kirchner hacia el Aeroparque metropolitano Jorge Newbery y su posterior viaje a Río Gallegos. En los primeros metros, los movimientos fueron lentos por la gran cantidad de gente que intentaba tocar el auto que transportaba el féretro, rodeado de efectivos de la Policía federal (había motos adelante y atrás y efectivos identificados con pecheras naranjas caminando a los costados). Otros arrojaban flores y banderas sobre el auto y coreaban el nombre del ex presidente.""Néstor, querido, el pueblo está contigo"", ""Para Cristina, la reelección"" y ""Néstor no se murió"" fueron algunas de las canciones preferidas por los militantes. Los más jóvenes gritaban optaron por ""yo soy argentino, soy soldado del pinguino"" y ""Che gorila, che gorila, si la tocan a Cristina el kilombo que va a ver"". Entre la multitud, se vio al ministro de Trabajo, Carlos Tomada, quien caminó al lado del cortejo fúnebre visiblemente emocionado. Minutos antes de las 14, el cortejo dobló por Córdoba y tomó la avenida 9 de Julio, que lucía colorida por la gran cantidad de paraguas. A partir de ese momento, la caravana avanzó a mayor velocidad. Los policías a pie quedaron atrás y el auto que encabezaba el cortejo se rodeó de decenas de motos y bicicletas particulares.En total, más de 1000 policías participaron del operativo.Setenta minutos después de la salida de la explanada de Casa Rosada, el cortejo arribó a Aeroparque, donde al menos cuatro aviones de Aerolíneas Argentinas esperan para trasladar a funcionarios y militantes.Bajo una lluvia intensa, y rodeado de los Granaderos a Caballo, el féretro ingreso a la cinta que lo depositó en el interior del T 55 de la Fuerza Aérea, donde viaja Cristina, sus hijos Máximo y Florencia y un puñado de funcionarios. Entre ellos, Carlos Zanini, Oscar Parrilli, Aníbal Fernández y Héctor Icazuriaga. La nave levantó vuelo a las 14.43. Se calcula que en tres horas aterrizará en Río Gallegos.Desde el sector militar del Aeroparque metropolitano saldrán varios charters de Aerolíneas Argentinas para trasladar a funcionarios y allegados al Gobierno. En el hall central, entre decenas de militantes, se mezclaron desde esta mañana algunas figuras como Gastón Pauls, Fernando &apos;Chino&apos; Navarro, Francisco &apos;Barba&apos; Gutiérrez, Fernando Gray, Horacio Verbitsky, Edgardo Depetri, Tati Almeyda y Luis D&apos;Elía.Desde temprano, miles de personas se volcaron a las calles. En el Puente Salguero, los primeros en llegar fueron algunos habitantes de la Villa 31 y del exclusivo Barrio Parque. En promedio, según informó la Comisaría 53, a cargo del operativo de seguridad en esa zona, se asignaron 20 policías por cada cuadra.También hubo mucha gente con banderas en el primer tramo del recorrido, sobre la avenida Alem, y en otros puntos como la esquina de Córdoba y 9 de Julio. El tránsito quedó restringido a lo largo de todo el itinerario. Entre las pancartas y banderas de las agrupaciones, se destacó la de la agrupación ""La Cámpora"", la de la Juventud Peronista, de sindicatos y agrupaciones sociales como así también muchas ?banderas argentinas?. La capilla ardiente abierta al público para despedir al ex presidente Néstor Kirchner en la Casa Rosada cerró al público minutos antes del mediodía. En un principio, estaba previsto que el acceso se interrumpiera a las 10, pero la enorme afluencia de personas llevaron a extender la ceremonia.El cortejo fúnebre recorrió las arterias Leandro N. Alem, Córdoba, 9 de Julio, Libertador, Salguero hasta el Aeroparque, según informó anoche el subsecretario de Medios, Alfredo Scoccimarro. El avión viajará directamente hacia Río Gallegos, donde será sepultado en el cementerio local sin ceremonia pública.En el camino se colgaron banderas y carteles. ?Uno tenía la? leyenda ""Néstor con Perón, el Pueblo con Cristina"", en letras negras.En el Puente Salguero, Florinda Quisper, de 54 años, vecina de la Villa 31, le dijo a Télam que estaba allí porque se quedó ""con ganas"" de ir a la Casa de Gobierno a despedir a Kirchner, a quien consideró ""un símbolo de la Argentina, porque ayudó mucho a la gente"". Beatriz Apanielli, de 72 años, de Malvinas Argentinas, consideró que ""los argentinos"" habían ""perdido la ilusión"" y ahora, ""gracias a Néstor hasta tenemos jubilación"".Desde el Aeroparque metropolitano confirmaron que, pese al alerta meteorológico lanzado para Buenos Aires, la operatoria es normal, por lo que no habría problemas para el traslado de los restos del ex presidente a Río Gallegos, donde será inhumado.";link;post_page_156057357762712;156057357762712_157676550934126;https://www.facebook.com/156057357762712/posts/157676550934126;;;;http://bit.ly/985otL;bit.ly;2010-10-29T15:48:54+0000;1288367334;10/29/2010 17:48:54;1;4;1;0;5;4;4;0;0;2;2;1;1;2.0;0.0;el titular del post de la la noticia a la cual se enlaza no coincide, esto debe ser porque es una noticia que el diario fue modificando conforme se actualizaba la información sobre las mesas escrutadas en Brasil.;0;1;0;0;0;0;0;0
